ID	DOCULECT	DOCULECT_ABBREVIATION	DOCULECT_FILE	GLOTTOCODE	CONCEPT	GLOSSID	VALUE	FORM	COGNACY	COG	DOCULECT_AGE	BORROWING	NOTE	COGID
1164	Geker	GEK	kar	geko1235	mountain	55	khəõ.53	khəõ⁵³	2197	2197:mountain	20	0	Geko Karen?	316
1165	Manu	MNU	kar	manu1255	mountain	55	kha.33 lø̣.11	kha³³_lø̣¹¹	1679	1679:mountain	20	0	Manumanaw Karen	203
1166	W. Kayah	KYH	kar	west2409	mountain	55	sho.11	sho¹¹	2734	2734:mountain	20	0	Kayah Western	452
1167	Yintale	YIN	kar	yint1235	mountain	55	shauw.33	shauw³³	2734	2734:mountain	20	0	Yintale Karen	452
1168	Motuo-M	MOT	mot	dakp1242	mountain	55	ri wu	ri_wu	737	737:mountain	20	0	Tawang Monpa, Dakpakha?	743
1169	Lhota	LHO	naga	loth1237	mountain	55	pu:ŋ=la:̃	puːŋlaː̃	1959	1959:mountain	20	0	Naga Lotha	268
1170	Yimchunrü	YIM	naga	yimc1240	mountain	55	mɨzɨŋ	mɨzɨŋ	2734	2734:mountain	20	0	Naga Yimchungru	452
1171	Ao-Chungli	AOC	naga	chon1286	mountain	55	tenem	tenem	534	534:mountain	20	0	Naga Ao	694
1172	Ao-Mongsen	AOM	naga	mong1332	mountain	55	tɨkoŋ	tɨkoŋ	2197	2197:mountain	20	0	Naga Ao	316
1173	Nusu	NUS	nung	nusu1239	mountain	55	lõ.35	lõ³⁵	1959	1959:mountain	20	0	Stage 2	268
1174	Serdukpen	SER	sul	sher1257	mountain	55	lu	lu	1679	1679:mountain	20	0	Stage 2	203
1175	N-Qiang	QIA	syc	nort2722	mountain	55	qhsəp	qhsəp	24	24:mountain	20	0	Stage 2	361
1176	Zhaba	ZHA	syc	zhab1238	mountain	55	pum.21	pum²¹	24	24:mountain	20	0	Stage 2	361
1177	Tujia	TUJ	tujia	nort2732	mountain	55	khu.1 ca.1	khu¹_ca¹	2351	2351:mountain	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	340
1178	Sherpa	SHE	tib	sher1255	mountain	55	khɛ. LF	khɛ_LF	2351	2351:mountain	20	0	Solu-Khumbu Sherpa	340
1179	Bokar	BOK	tani	bori1243	mountain	55	o go	o_go	4327	4327:mountain	20	0	Stage 2	590
1180	Nishi	NIS	tani	nisi1238	mountain	55	modi	modi	946	946:mountain	20	0	Nisi?	783
1181	Ninglang-Naxi	NIN	bur	naxi1245	mountain	55	ʒ́i.31 ɣo.13	ʒ́i³¹_ɣo¹³	737	737:mountain	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	743
1182	Jinuo	JIN	bur	youl1235	mountain	55	ɣɨ.42 tha.55	ɣɨ⁴²_tha⁵⁵	737	737:mountain	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	743
1183	Bokar	BOK	tani	bori1243	mountain	55	dituŋ	dituŋ	946	946:mountain	20	0	Stage 2	783
1184	Lijiang-Naxi	LIJ	bur	lich1241	mouth	56	nv.55 ta.33	nv⁵⁵_ta³³	2679	2679:mouth	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	412
1185	Ninglang-Naxi	NIN	bur	naxi1245	mouth	56	ńi.33 to.33	ńi³³_to³³	2679	2679:mouth	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	412
1186	Jinuo	JIN	bur	youl1235	mouth	56	mhö.44 mhö.44	mhö⁴⁴_mhö⁴⁴	2679	2679:mouth	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	412
1187	Jingpo	JNP	jnp	kach1280	mouth	56	n.31 kup.31	n³¹_kup³¹	4568	4568:mouth	20	0	Jinghpaw	672
1188	Yeinbaw	YEI	kar	yinb1236	mouth	56	kạu.11 ko.55	kạu¹¹_ko⁵⁵	4494	4494:mouth	20	0	Yinbaw Karen	641
1189	Geker	GEK	kar	geko1235	mouth	56	khaʔ.53 kəɨ.44	khaʔ⁵³_kəɨ⁴⁴	2367	2367:mouth	20	0	Geko Karen?	342
1190	Manu	MNU	kar	manu1255	mouth	56	khu.44 phiɛ.44	khu⁴⁴_phiɛ⁴⁴	2367	2367:mouth	20	0	Manumanaw Karen	342
1191	W. Kayah	KYH	kar	west2409	mouth	56	kha.33 ʔu.11	kha³³_ʔu¹¹	2367	2367:mouth	20	0	Kayah Western	342
1192	Yintale	YIN	kar	yint1235	mouth	56	kha.55 khu.33	kha⁵⁵_khu³³	2367	2367:mouth	20	0	Yintale Karen	342
1193	Motuo-M	MOT	mot	dakp1242	mouth	56	no waŋ	no_waŋ	2679	2679:mouth	20	0	Tawang Monpa, Dakpakha?	412
1194	Lhota	LHO	naga	loth1237	mouth	56	o:paŋ	oːpaŋ	363	363:mouth	20	0	Naga Lotha	513
1195	Yimchunrü	YIM	naga	yimc1240	mouth	56	mɨn	mɨn	163	163:mouth	20	0	Naga Yimchungru	193
1196	Ao-Chungli	AOC	naga	chon1286	mouth	56	tebaŋ	tebaŋ	363	363:mouth	20	0	Naga Ao	513
1197	Ao-Mongsen	AOM	naga	mong1332	mouth	56	tɨpaŋ	tɨpaŋ	363	363:mouth	20	0	Naga Ao	513
1198	Nusu	NUS	nung	nusu1239	mouth	56	nha.55 khoŋ.35	nha⁵⁵_khoŋ³⁵	4312	4312:mouth	20	0	Stage 2	582
1199	Serdukpen	SER	sul	sher1257	mouth	56	nichaw	nichaw	1320	1320:mouth	20	0	Stage 2	107
1200	N-Qiang	QIA	syc	nort2722	mouth	56	ʒə kuə	ʒə_kuə	1152	1152:mouth	20	0	Stage 2	61
1201	Zhaba	ZHA	syc	zhab1238	mouth	56	nu̲t.55	nu̲t⁵⁵	2679	2679:mouth	20	0	Stage 2	412
1202	Tujia	TUJ	tujia	nort2732	mouth	56	ca.3 ćhi.1	ca³_ćhi¹	1152	1152:mouth	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	61
1203	Sherpa	SHE	tib	sher1255	mouth	56	kha.HR	khaHR	2598	2598:mouth	20	0	Solu-Khumbu Sherpa	397
1204	Bokar	BOK	tani	bori1243	mouth	56	nap paŋ	nap_paŋ	4312	4312:mouth	20	0	Stage 2	582
1205	Nishi	NIS	tani	nisi1238	mouth	56	nəhi	nəhi	4312	4312:mouth	20	0	Nisi?	582
1206	Manu	MNU	kar	manu1255	mouth	56	khu.44 phiɛ.44	khu⁴⁴_phiɛ⁴⁴	4526	4526:mouth	20	0	Manumanaw Karen	650
1207	N-Qiang	QIA	syc	nort2722	mouth	56	ʒə kuə	ʒə_kuə	2367	2367:mouth	20	0	Stage 2	342
1208	Lijiang-Naxi	LIJ	bur	lich1241	name	57	mi.31	mi³¹	61	61:name	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	718
1209	Ninglang-Naxi	NIN	bur	naxi1245	name	57	mv.33	mv³³	61	61:name	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	718
1210	Jinuo	JIN	bur	youl1235	name	57	a.33 mhe.44	a³³_mhe⁴⁴	61	61:name	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	718
1211	Jingpo	JNP	jnp	kach1280	name	57	mjiŋ.33	mjiŋ³³	61	61:name	20	0	Jinghpaw	718
1212	Yeinbaw	YEI	kar	yinb1236	name	57	mjɨ̣̃.33	mjɨ̣̃³³	61	61:name	20	0	Yinbaw Karen	718
1213	Geker	GEK	kar	geko1235	name	57	mi.33	mi³³	61	61:name	20	0	Geko Karen?	718
1214	Manu	MNU	kar	manu1255	name	57	mị.11	mị¹¹	61	61:name	20	0	Manumanaw Karen	718
1215	W. Kayah	KYH	kar	west2409	name	57	mụi.11	mụi¹¹	61	61:name	20	0	Kayah Western	718
1216	Yintale	YIN	kar	yint1235	name	57	mĩ.11	mĩ¹¹	61	61:name	20	0	Yintale Karen	718
1217	Motuo-M	MOT	mot	dakp1242	name	57	miŋ	miŋ	61	61:name	20	0	Tawang Monpa, Dakpakha?	718
1218	Lhota	LHO	naga	loth1237	name	57	o:myaŋ	oːmyaŋ	61	61:name	20	0	Naga Lotha	718
1219	Yimchunrü	YIM	naga	yimc1240	name	57	amɨŋ	amɨŋ	61	61:name	20	0	Naga Yimchungru	718
1220	Ao-Chungli	AOC	naga	chon1286	name	57	tenɨŋ	tenɨŋ	61	61:name	20	0	Naga Ao	718
1221	Ao-Mongsen	AOM	naga	mong1332	name	57	teniŋ	teniŋ	61	61:name	20	0	Naga Ao	718
1222	Nusu	NUS	nung	nusu1239	name	57	mhrər.35 EE	mhrər³⁵_EE	0	0:name	20	0	Stage 2	21
1223	Serdukpen	SER	sul	sher1257	name	57	azeŋ	azeŋ	61	61:name	20	0	Stage 2	718
1224	N-Qiang	QIA	syc	nort2722	name	57	rmə	rmə	61	61:name	20	0	Stage 2	718
1225	Zhaba	ZHA	syc	zhab1238	name	57	mjiŋ.51	mjiŋ⁵¹	61	61:name	20	0	Stage 2	718
1226	Tujia	TUJ	tujia	nort2732	name	57	min.4 ci.4	min⁴_ci⁴	61	61:name	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	718
1227	Sherpa	SHE	tib	sher1255	name	57	min. LF	min_LF	61	61:name	20	0	Solu-Khumbu Sherpa	718
1228	Bokar	BOK	tani	bori1243	name	57	a min	a_min	61	61:name	20	0	Stage 2	718
2245	Lijiang-Naxi	LIJ	bur	lich1241	near	103	nv.55	nv⁵⁵	560	560:near	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	699
2246	Ninglang-Naxi	NIN	bur	naxi1245	near	103	źə.31 ńi.13	źə³¹_ńi¹³	560	560:near	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	699
2247	Jinuo	JIN	bur	youl1235	near	103	ćɛ.42	ćɛ⁴²	1157	1157:near	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	63
2248	Jingpo	JNP	jnp	kach1280	near	103	ni.31	ni³¹	560	560:near	20	0	Jinghpaw	699
2249	Yeinbaw	YEI	kar	yinb1236	near	103	phɨ.55	phɨ⁵⁵	205	205:near	20	0	Yinbaw Karen	289
2250	Geker	GEK	kar	geko1235	near	103	phɨʔ.53 theiʔ.5	phɨʔ⁵³_theiʔ⁵	205	205:near	20	0	Geko Karen?	289
2251	Manu	MNU	kar	manu1255	near	103	phu.44	phu⁴⁴	205	205:near	20	0	Manumanaw Karen	289
2252	W. Kayah	KYH	kar	west2409	near	103	phɨ.11	phɨ¹¹	205	205:near	20	0	Kayah Western	289
2253	Yintale	YIN	kar	yint1235	near	103	ʔa.11 phuŋ.33	ʔa¹¹_phuŋ³³	205	205:near	20	0	Yintale Karen	289
2254	Motuo-M	MOT	mot	dakp1242	near	103	[thaʔ] thum bi	_thum_bi	-1	-1-20	20	1	Tawang Monpa, Dakpakha?	12
2255	Lhota	LHO	naga	loth1237	near	103	eŋhya:no	eŋhyaːno	560	560:near	20	0	Naga Lotha	699
2256	Yimchunrü	YIM	naga	yimc1240	near	103	khiuŋto	khiuŋto	4473	4473:near	20	0	Naga Yimchungru	630
2257	Ao-Chungli	AOC	naga	chon1286	near	103	anasa	anasa	1154	1154:near	20	0	Naga Ao	62
2258	Ao-Mongsen	AOM	naga	mong1332	near	103	unha	unha	1154	1154:near	20	0	Naga Ao	62
2259	Nusu	NUS	nung	nusu1239	near	103	ńi.55	ńi⁵⁵	560	560:near	20	0	Stage 2	699
2260	Serdukpen	SER	sul	sher1257	near	103	kẽ	kẽ	2218	2218:near	20	0	Stage 2	318
2261	N-Qiang	QIA	syc	nort2722	near	103	[guər] ńɛ	_ńɛ	560	560:near	20	0	Stage 2	699
2262	Zhaba	ZHA	syc	zhab1238	near	103	tʃa̲ŋ.55	tʃa̲ŋ⁵⁵	1157	1157:near	20	0	Stage 2	63
2263	Tujia	TUJ	tujia	nort2732	near	103	coŋ.2	coŋ²	1570	1570:near	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	170
2264	Sherpa	SHE	tib	sher1255	near	103	cip-lɛ. LR	cip-lɛ_LR	4131	4131:near	20	0	Solu-Khumbu Sherpa	545
2265	Bokar	BOK	tani	bori1243	near	103	nə ćə	nə_ćə	1154	1154:near	20	0	Stage 2	62
2266	Bokar	BOK	tani	bori1243	near	103	nə ćə	nə_ćə	560	560:near	20	0	Stage 2	699
1229	Lijiang-Naxi	LIJ	bur	lich1241	neck	58	ćər.33	ćər³³	4133	4133:neck	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	546
1230	Ninglang-Naxi	NIN	bur	naxi1245	neck	58	ɣa.33 tv.55	ɣa³³_tv⁵⁵	995	995:neck	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	791
1231	Jinuo	JIN	bur	youl1235	neck	58	lə.42 chə.55	lə⁴²_chə⁵⁵	1691	1691:neck	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	210
1232	Jingpo	JNP	jnp	kach1280	neck	58	tuʔ.31	tuʔ³¹	995	995:neck	20	0	Jinghpaw	791
1233	Motuo-M	MOT	mot	dakp1242	neck	58	ŋaŋ	ŋaŋ	2736	2736:neck	20	0	Tawang Monpa, Dakpakha?	453
1234	Lhota	LHO	naga	loth1237	neck	58	eŋu	eŋu	2540	2540:neck	20	0	Naga Lotha	373
1235	Yimchunrü	YIM	naga	yimc1240	neck	58	ahuŋ	ahuŋ	2540	2540:neck	20	0	Naga Yimchungru	373
1236	Ao-Chungli	AOC	naga	chon1286	neck	58	tɨ=khuŋ=len	tɨkhuŋlen	2540	2540:neck	20	0	Naga Ao	373
1237	Ao-Mongsen	AOM	naga	mong1332	neck	58	ŋan	ŋan	2736	2736:neck	20	0	Naga Ao	453
1238	Nusu	NUS	nung	nusu1239	neck	58	le.31 dɔ.35	le³¹_dɔ³⁵	1691	1691:neck	20	0	Stage 2	210
1239	Serdukpen	SER	sul	sher1257	neck	58	ortoŋ	ortoŋ	995	995:neck	20	0	Stage 2	791
1240	N-Qiang	QIA	syc	nort2722	neck	58	tʃə ka	tʃə_ka	2435	2435:neck	20	0	Stage 2	352
1241	Zhaba	ZHA	syc	zhab1238	neck	58	liŋ.51 ciŋ.21	liŋ⁵¹_ciŋ²¹	1691	1691:neck	20	0	Stage 2	210
1242	Tujia	TUJ	tujia	nort2732	neck	58	khoŋ.1 ti.1	khoŋ¹_ti¹	2540	2540:neck	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	373
1243	Sherpa	SHE	tib	sher1255	neck	58	ʒinhbɛ. LF	ʒinhbɛ_LF	1691	1691:neck	20	0	Solu-Khumbu Sherpa	210
1244	Bokar	BOK	tani	bori1243	neck	58	lɨŋ guŋ, lɨŋ po	lɨŋ_guŋ	1691	1691:neck	20	0	Stage 2	210
1245	Nishi	NIS	tani	nisi1238	neck	58	lu:gu	luːgu	1691	1691:neck	20	0	Nisi?	210
1246	Lijiang-Naxi	LIJ	bur	lich1241	neck	58	ćər.33	ćər³³	4133	4133:neck	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	546
1247	Jinuo	JIN	bur	youl1235	neck	58	lə.42 chə.55	lə⁴²_chə⁵⁵	4133	4133:neck	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	546
1248	Zhaba	ZHA	syc	zhab1238	neck	58	liŋ.51 ciŋ.21	liŋ⁵¹_ciŋ²¹	4133	4133:neck	20	0	Stage 2	546
1249	Bokar	BOK	tani	bori1243	neck	58	lɨŋ poŋ	lɨŋ_poŋ	417	417:neck	20	0	Stage 2	555
1250	Nishi	NIS	tani	nisi1238	neck	58	lu:gu	luːgu	2540	2540:neck	20	0	Nisi?	373
1251	Lijiang-Naxi	LIJ	bur	lich1241	new	59	ṣɨ.55	ṣɨ⁵⁵	1511	1511:new	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	154
1252	Ninglang-Naxi	NIN	bur	naxi1245	new	59	ṣɨ.13	ṣɨ¹³	1511	1511:new	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	154
1253	Jinuo	JIN	bur	youl1235	new	59	ʃi.55	ʃi⁵⁵	1511	1511:new	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	154
1254	Jingpo	JNP	jnp	kach1280	new	59	n.31 nan.33	n³¹_nan³³	532	532:new	20	0	Jinghpaw	693
1255	Yeinbaw	YEI	kar	yinb1236	new	59	θi.55	θi⁵⁵	1511	1511:new	20	0	Yinbaw Karen	154
1256	Geker	GEK	kar	geko1235	new	59	ṭa:.53	ṭaː⁵³	1511	1511:new	20	0	Geko Karen?	154
1257	Manu	MNU	kar	manu1255	new	59	sa.11	sa¹¹	1511	1511:new	20	0	Manumanaw Karen	154
1258	W. Kayah	KYH	kar	west2409	new	59	ćɛ.33	ćɛ³³	1511	1511:new	20	0	Kayah Western	154
1259	Yintale	YIN	kar	yint1235	new	59	ʔa.11 ṣaŋ.35	ʔa¹¹_ṣaŋ³⁵	1511	1511:new	20	0	Yintale Karen	154
1260	Motuo-M	MOT	mot	dakp1242	new	59	siŋ ma	siŋ_ma	1511	1511:new	20	0	Tawang Monpa, Dakpakha?	154
1261	Lhota	LHO	naga	loth1237	new	59	ethã	ethã	1205	1205:new	20	0	Naga Lotha	79
1262	Yimchunrü	YIM	naga	yimc1240	new	59	aso	aso	1511	1511:new	20	0	Naga Yimchungru	154
1263	Ao-Chungli	AOC	naga	chon1286	new	59	tasen	tasen	1511	1511:new	20	0	Naga Ao	154
1264	Ao-Mongsen	AOM	naga	mong1332	new	59	tesen	tesen	1511	1511:new	20	0	Naga Ao	154
1265	Nusu	NUS	nung	nusu1239	new	59	ʒ́ɔ.55 ɔ.31	ʒ́ɔ⁵⁵_ɔ³¹	1511	1511:new	20	0	Stage 2	154
1266	N-Qiang	QIA	syc	nort2722	new	59	kh=sə	khsə	1511	1511:new	20	0	Stage 2	154
1267	Zhaba	ZHA	syc	zhab1238	new	59	a.21 sik.55	a²¹_sik⁵⁵	1511	1511:new	20	0	Stage 2	154
1268	Tujia	TUJ	tujia	nort2732	new	59	a.3 si.1	a³_si¹	1511	1511:new	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	154
1269	Sherpa	SHE	tib	sher1255	new	59	sam=bɛ.HF	sambɛHF	1205	1205:new	20	0	Solu-Khumbu Sherpa	79
1270	Bokar	BOK	tani	bori1243	new	59	nɨ ti:	nɨ_tiː	611	611:new	20	0	Stage 2	716
1271	Nishi	NIS	tani	nisi1238	new	59	nit	nit	611	611:new	20	0	Nisi?	716
1272	Lijiang-Naxi	LIJ	bur	lich1241	night	60	mv.33 khv.55	mv³³_khv⁵⁵	2737	2737:night	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	454
1273	Ninglang-Naxi	NIN	bur	naxi1245	night	60	mv.31 khv.13	mv³¹_khv¹³	2737	2737:night	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	454
1274	Jinuo	JIN	bur	youl1235	night	60	mhe.42 kha.42	mhe⁴²_kha⁴²	2737	2737:night	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	454
1275	Geker	GEK	kar	geko1235	night	60	[məɨʔ.53] na.22	_na²²	550	550:night	20	0	Geko Karen?	697
1276	Lijiang-Naxi	LIJ	bur	lich1241	night	60	mv.33 khv.55	mv³³_khv⁵⁵	2739	2739:night	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	455
1277	Ninglang-Naxi	NIN	bur	naxi1245	night	60	mv.31 khv.13	mv³¹_khv¹³	2739	2739:night	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	455
1278	Jinuo	JIN	bur	youl1235	night	60	mhe.42 kha.42	mhe⁴²_kha⁴²	2739	2739:night	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	455
1279	Jingpo	JNP	jnp	kach1280	night	60	šə.31 naʔ.55	šə³¹_naʔ⁵⁵	550	550:night	20	0	Jinghpaw	697
1280	Yeinbaw	YEI	kar	yinb1236	night	60	mɨ̣̃.11 ha.55	mɨ̣̃¹¹_ha⁵⁵	2075	2075:night	20	0	Yinbaw Karen	292
1281	Geker	GEK	kar	geko1235	night	60	məɨʔ.53 na.22 k	məɨʔ⁵³_na²²_k	2737	2737:night	20	0	Geko Karen?	454
1282	Manu	MNU	kar	manu1255	night	60	lv.11 mø̣.33 k	lv¹¹_mø̣³³_k	2737	2737:night	20	0	Manumanaw Karen	454
1283	W. Kayah	KYH	kar	west2409	night	60	mɔ̣.44 khi.55	mɔ̣⁴⁴_khi⁵⁵	2737	2737:night	20	0	Kayah Western	454
1284	Yintale	YIN	kar	yint1235	night	60	mɨ.11 khi.55	mɨ¹¹_khi⁵⁵	2737	2737:night	20	0	Yintale Karen	454
1285	Motuo-M	MOT	mot	dakp1242	night	60	bi naŋ	bi_naŋ	550	550:night	20	0	Tawang Monpa, Dakpakha?	697
1286	Lhota	LHO	naga	loth1237	night	60	zamo-lo	zamo-lo	1133	1133:night	20	0	Naga Lotha	51
1287	Yimchunrü	YIM	naga	yimc1240	night	60	ažiŋ	ažiŋ	1133	1133:night	20	0	Naga Yimchungru	51
1288	Ao-Chungli	AOC	naga	chon1286	night	60	aonuŋ, amaŋ	aonuŋ	162	162:night	20	0	Naga Ao	189
1289	Ao-Mongsen	AOM	naga	mong1332	night	60	aya, aya=naŋ	aya	1412	1412:night	20	0	Naga Ao	128
1290	Nusu	NUS	nung	nusu1239	night	60	suɔr.35	suɔr³⁵	1534	1534:night	20	0	Stage 2	161
1291	Serdukpen	SER	sul	sher1257	night	60	nuphuŋ-saŋ	nuphuŋ-saŋ	4437	4437:night	20	0	Stage 2	619
1292	N-Qiang	QIA	syc	nort2722	night	60	a ṣa	a_ṣa	1534	1534:night	20	0	Stage 2	161
1293	Zhaba	ZHA	syc	zhab1238	night	60	mjin.55 le.21	mjin⁵⁵_le²¹	2739	2739:night	20	0	Stage 2	455
1294	Tujia	TUJ	tujia	nort2732	night	60	lan.3 jin.1 ch	lan³_jin¹_ch	4537	4537:night	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	658
1295	Sherpa	SHE	tib	sher1255	night	60	nup. LR	nup_LR	551	551:night	20	0	Solu-Khumbu Sherpa	698
1296	Bokar	BOK	tani	bori1243	night	60	a yo:	a_yoː	1412	1412:night	20	0	Stage 2	128
1297	Nishi	NIS	tani	nisi1238	night	60	ayi	ayi	1412	1412:night	20	0	Nisi?	128
1298	Lijiang-Naxi	LIJ	bur	lich1241	nose	61	ńi.55 mər.31	ńi⁵⁵_mər³¹	516	516:nose	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	688
1299	Ninglang-Naxi	NIN	bur	naxi1245	nose	61	ńi.33 gə.33	ńi³³_gə³³	516	516:nose	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	688
1300	Jinuo	JIN	bur	youl1235	nose	61	nhɔ.42 to.44	nhɔ⁴²_to⁴⁴	516	516:nose	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	688
1301	Jingpo	JNP	jnp	kach1280	nose	61	lə.55 ti.51	lə⁵⁵_ti⁵¹	925	925:nose	20	0	Jinghpaw	775
1302	Yeinbaw	YEI	kar	yinb1236	nose	61	kṿ.11 bu.55	kṿ¹¹_bu⁵⁵	243	243:nose	20	0	Yinbaw Karen	353
1303	Geker	GEK	kar	geko1235	nose	61	nəphu.44	nəphu⁴⁴	516	516:nose	20	0	Geko Karen?	688
1304	Manu	MNU	kar	manu1255	nose	61	nɔ̣.11 ʃhøə.3	nɔ̣¹¹_ʃhøə³	516	516:nose	20	0	Manumanaw Karen	688
1305	W. Kayah	KYH	kar	west2409	nose	61	nị.44 nạ.11	nị⁴⁴_nạ¹¹	516	516:nose	20	0	Kayah Western	688
1306	Yintale	YIN	kar	yint1235	nose	61	nãŋ.33 khɛ.55	nãŋ³³_khɛ⁵⁵	516	516:nose	20	0	Yintale Karen	688
1307	Motuo-M	MOT	mot	dakp1242	nose	61	na wuŋ	na_wuŋ	516	516:nose	20	0	Tawang Monpa, Dakpakha?	688
1308	Lhota	LHO	naga	loth1237	nose	61	kenno	kenno	516	516:nose	20	0	Naga Lotha	688
1309	Yimchunrü	YIM	naga	yimc1240	nose	61	nuboŋ	nuboŋ	516	516:nose	20	0	Naga Yimchungru	688
1310	Ao-Chungli	AOC	naga	chon1286	nose	61	teni	teni	516	516:nose	20	0	Naga Ao	688
1311	Ao-Mongsen	AOM	naga	mong1332	nose	61	tena	tena	516	516:nose	20	0	Naga Ao	688
1312	Nusu	NUS	nung	nusu1239	nose	61	nha.55 koŋ.35	nha⁵⁵_koŋ³⁵	516	516:nose	20	0	Stage 2	688
1313	Serdukpen	SER	sul	sher1257	nose	61	nu=phuŋ	nuphuŋ	243	243:nose	20	0	Stage 2	353
1314	N-Qiang	QIA	syc	nort2722	nose	61	stəq	stəq	925	925:nose	20	0	Stage 2	775
1315	Zhaba	ZHA	syc	zhab1238	nose	61	no̲.51	no̲⁵¹	516	516:nose	20	0	Stage 2	688
1316	Tujia	TUJ	tujia	nort2732	nose	61	ən.3 ćhi.1	ən³_ćhi¹	516	516:nose	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	688
1317	Sherpa	SHE	tib	sher1255	nose	61	na=wu.HF	nawuHF	516	516:nose	20	0	Solu-Khumbu Sherpa	688
1318	Bokar	BOK	tani	bori1243	nose	61	ńa pum	ńa_pum	516	516:nose	20	0	Stage 2	688
1319	Nishi	NIS	tani	nisi1238	nose	61	ńip-pum	ńip-pum	516	516:nose	20	0	Nisi?	688
1320	Geker	GEK	kar	geko1235	nose	61	nəphu.44	nəphu⁴⁴	243	243:nose	20	0	Geko Karen?	353
1321	Yintale	YIN	kar	yint1235	nose	61	nãŋ.33 khɛ.55	nãŋ³³_khɛ⁵⁵	516	516:nose	20	0	Yintale Karen	688
1322	Serdukpen	SER	sul	sher1257	nose	61	nu=phuŋ	nuphuŋ	516	516:nose	20	0	Stage 2	688
1323	Lijiang-Naxi	LIJ	bur	lich1241	not	62	mə.33	mə³³	58	58:not	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	710
1324	Ninglang-Naxi	NIN	bur	naxi1245	not	62	mə.33	mə³³	58	58:not	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	710
1325	Jinuo	JIN	bur	youl1235	not	62	mə.44	mə⁴⁴	58	58:not	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	710
1326	Jingpo	JNP	jnp	kach1280	not	62	n.55	n⁵⁵	58	58:not	20	0	Jinghpaw	710
1327	Yeinbaw	YEI	kar	yinb1236	not	62	cɨ.44 mṿ.22	cɨ⁴⁴_mṿ²²	58	58:not	20	0	Yinbaw Karen	710
1328	Geker	GEK	kar	geko1235	not	62	ḍŋəo.44 ma.31	ḍŋəo⁴⁴_ma³¹	58	58:not	20	0	Geko Karen?	710
1329	W. Kayah	KYH	kar	west2409	not	62	təmẹ.44	təmẹ⁴⁴	58	58:not	20	0	Kayah Western	710
1330	Yintale	YIN	kar	yint1235	not	62	ma.11	ma¹¹	58	58:not	20	0	Yintale Karen	710
1331	Motuo-M	MOT	mot	dakp1242	not	62	ma	ma	58	58:not	20	0	Tawang Monpa, Dakpakha?	710
1332	Lhota	LHO	naga	loth1237	not	62	me	me	58	58:not	20	0	Naga Lotha	710
1333	Yimchunrü	YIM	naga	yimc1240	not	62	mu	mu	58	58:not	20	0	Naga Yimchungru	710
